觀光遊憩區別,遊客人次有門票_需購票,遊客人次無門票_免費,遊客人次假日,遊客人次非假日,門票收入_元 ,上年同月遊客人數,備註
臺灣鹽博物館,"6,796 ",211 ,"6,514 ",493 ,"$388,650 ","4,837 ",門票數
七股鹽山,"97,419 ","10,372 ","91,506 ","16,285 ","$2,445,325 ","95,002 ",門票數
北門遊客中心, - ,"66,637 ","58,452 ","8,185 ", - ,"38,643 ",停車數概估(自105年9月起調整人次計算方式以停車數概估)
井仔腳瓦盤鹽田, - ,"23,745 ","18,567 ","5,178 ", - ,"25,099 ",停車數概估
尖山埤江南渡假村,"17,991 ","9,080 ","16,355 ","10,716 ","$879,512 ","22,671 ",門票數  
烏山頭水庫風景區,"19,094 ","1,905 ","18,178 ","2,821 ","$2,061,525 ","19,335 ",門票數
曾文水庫,"27,782 ",508 ,"19,405 ","8,885 ","$1,598,105 ","21,861 ",門票數
關子嶺溫泉區, - ,"198,813 ","80,147 ","118,666 ", - ,"154,351 ",自動車流監視
虎頭埤風景區,"22,943 ","13,586 ","28,229 ","8,300 ","$1,436,992 ","31,683 ",門票數
南元休閒農場,"11,697 ","2,938 ","12,808 ","1,827 ","$3,606,540 ","17,046 ",門票數
走馬瀨農場,"42,750 ","6,889 ","43,334 ","6,305 ","$5,130,000 ","44,892 ",門票數
烏樹林休閒園區, - ,"9,436 ","7,827 ","1,609 ", - ,"6,958 ",門票數
頑皮世界,"25,543 ",144 ,"22,549 ","3,138 ","$10,540,390 ","28,123 ",門票數
南鯤鯓代天府, - ,"905,000 ","543,000 ","362,000 ", - ,"901,750 ",廟方估計
麻豆代天府, - ,"568,118 ","340,871 ","227,247 ", - ,"544,657 ",廟方估計
馬沙溝濱海遊憩區,休館,休館,休館,休館,休館,休館,自105年11月1日起休園
國立臺灣歷史博物館,"10,797 ","26,721 ","25,466 ","12,052 ","$683,930 ","32,069 ",人工計數器
奇美博物館,"95,044 ","2,854 ","45,808 ","52,090 ","$10,873,490 ","85,112 ",人工計數器
延平郡王祠, - ,"16,917 ","12,294 ","4,623 ", - ,"17,207 ",人工計數器
赤崁樓,"51,464 ","22,772 ","55,010 ","19,226 ","$2,550,220 ","83,591 ",門票數
臺南孔子廟,"16,464 ","6,585 ","19,923 ","3,126 ","$409,880 ","28,673 ",人工計數器 (自108年2月15日起休館維修)
祀典武廟, - ,"51,965 ","38,507 ","13,458 ", - ,"58,514 ",人工計數器
五妃廟, - ,"6,262 ","4,025 ","2,237 ", - ,"5,831 ",人工計數器
大天后宮, - ,"59,389 ","44,008 ","15,381 ", - ,"66,873 ",人工計數器
安平小鎮,"126,669 ","45,138 ","125,742 ","46,065 ","$5,221,230 ","187,715 ",門票數
