觀光遊憩區別,遊客人次有門票_需購票,遊客人次無門票_免費,遊客人次假日,遊客人次非假日,門票收入_元 ,上年同月遊客人數,備註
臺灣鹽博物館,"2,519",85,"1,873",731,"$230,620 ","3,169 ",門票數
七股鹽山,"44,526","11,156","37,659","18,023","$1,112,575 ","45,915 ",門票數
北門遊客中心, - ,"37,294","26,468","10,826", - ,"24,387 ",停車數概估(自105年9月起調整人次計算方式以停車數概估)
井仔腳瓦盤鹽田, - ,"25,324","14,629","10,695", - ,"21,540 ",停車數概估
尖山埤江南渡假村,"19,194","10,671","10,630","19,235","$774,527 ","32,479 ",門票數  
烏山頭水庫風景區,"19,652","1,995","10,057","11,590","$1,599,685 ","20,706 ",門票數
曾文水庫,"28,938",493,"12,290","17,141","$1,567,114 ","22,887 ",門票數
關子嶺溫泉區, - ,"71,574","25,050","46,524", - ,"108,694 ",自動車流監視
虎頭埤風景區,"13,886","21,442","20,614","14,714","$638,352 ","29,595 ",門票數
南元休閒農場,"4,041","1,934","4,155","1,820","$1,074,050 ","7,487 ",門票數
走馬瀨農場,"26,310","13,851","28,355","11,806","$2,630,980 ","21,790 ",門票數
烏樹林休閒園區, - ,"7,099","3,727","3,372", - ,"7,331 ",門票數
頑皮世界,"18,986",703,"11,846","7,843","$6,656,680 ","13,511 ",門票數
南鯤鯓代天府, - ,"901,500","540,900","360,600", - ,"900,800 ",廟方估計
麻豆代天府, - ,"255,480","153,288","102,192", - ,"268,916 ",廟方估計
馬沙溝濱海遊憩區,休館,休館,休館,休館,休館,休館,自105年11月1日起休園
國立臺灣歷史博物館,"22,300","40,181","30,746","31,735","$1,391,370 ","45,255 ",人工計數器
奇美博物館,"61,527","16,419","33,786","44,160","$7,769,620 ","55,587 ",人工計數器
延平郡王祠, - ,"6,563","2,957","3,606", - ,"13,502 ",人工計數器
赤崁樓,"35,270","17,992","27,908","25,354","$1,462,695 ","54,739 ",門票數
臺南孔子廟,休館,休館,休館,休館,休館,"18,997 ",人工計數器 (自108年2月15日起休館維修)
祀典武廟, - ,"37,284","19,536","17,748", - ,"38,317 ",人工計數器
五妃廟, - ,"6,013","2,849","3,164", - ,"5,517 ",人工計數器
大天后宮, - ,"42,609","22,326","20,283", - ,"43,791 ",人工計數器
安平小鎮,"83,467","28,366","60,225","51,608","$3,457,335 ","113,830 ",門票數
