觀光遊憩區別,遊客人次有門票_需購票,遊客人次無門票_免費,遊客人次假日,遊客人次非假日,門票收入_元 ,上年同月遊客人數,備註
臺灣鹽博物館,"2,357 ",255 ,"1,630 ",982 ,"$197,860 ","4,234 ",門票數
七股鹽山,"41,494 ","11,889 ","34,145 ","19,238 ","$1,040,775 ","72,686 ",門票數
北門遊客中心, - ,"36,513 ","25,401 ","11,112 ", - ,"34,875 ",停車數概估(自105年9月起調整人次計算方式以停車數概估)
井仔腳瓦盤鹽田, - ,"20,550 ","11,769 ","8,781 ", - ,"25,538 ",停車數概估
尖山埤江南渡假村,"21,492 ","6,650 ","10,663 ","17,479 ","$839,266 ","31,522 ",門票數  
烏山頭水庫風景區,"16,319 ","2,907 ","8,529 ","10,697 ","$1,512,750 ","27,712 ",門票數
曾文水庫,"18,940 ",418 ,"5,802 ","13,556 ","$930,752 ","24,274 ",門票數
關子嶺溫泉區, - ,"57,423 ","23,130 ","34,293 ", - ,"66,268 ",自動車流監視
虎頭埤風景區,"10,753 ","15,855 ","15,964 ","10,644 ","$607,052 ","36,303 ",門票數
南元休閒農場,"7,818 ","1,849 ","5,963 ","3,704 ","$2,017,850 ","18,232 ",門票數
走馬瀨農場,"23,013 ","8,601 ","17,221 ","14,393 ","$2,761,620 ","38,507 ",門票數
烏樹林休閒園區, - ,"7,254 ","3,741 ","3,513 ", - ,"11,193 ",門票數
頑皮世界,"15,683 ",720 ,"10,201 ","6,202 ","$5,780,680 ","17,915 ",門票數
南鯤鯓代天府, - ,"762,500 ","457,500 ","305,000 ", - ,"770,000 ",廟方估計
麻豆代天府, - ,"397,055 ","238,233 ","158,822 ", - ,"441,172 ",廟方估計
馬沙溝濱海遊憩區,休館,休館,休館,休館,休館,休館,自105年11月1日起休園
國立臺灣歷史博物館,"8,355 ","26,647 ","15,466 ","19,536 ","$570,330 ","40,900 ",人工計數器
奇美博物館,"71,453 ","2,090 ","40,681 ","32,862 ","$7,467,850 ","98,543 ",人工計數器
延平郡王祠, - ,"7,463 ","4,270 ","3,193 ", - ,"15,114 ",人工計數器
赤崁樓,"36,022 ","19,608 ","30,140 ","25,490 ","$1,419,090 ","71,094 ",門票數
臺南孔子廟,休館,休館,休館,休館,休館,"17,489 ",人工計數器 (自108年2月15日起休館維修)
祀典武廟, - ,"38,941 ","21,098 ","17,843 ", - ,"49,765 ",人工計數器
五妃廟, - ,"4,930 ","2,585 ","2,345 ", - ,"6,013 ",人工計數器
大天后宮, - ,"44,504 ","24,112 ","20,392 ", - ,"56,876 ",人工計數器
安平小鎮,"88,544 ","34,678 ","66,461 ","56,761 ","$3,659,665 ","152,774 ",門票數
