觀光遊憩區別,遊客人次有門票_需購票,遊客人次無門票_免費,遊客人次假日,遊客人次非假日,門票收入_元 ,上年同月遊客人數,備註
臺灣鹽博物館,"1,958 ",100 ,"1,446 ",612 ,"$177,410 ","2,943 ",門票數
七股鹽山,"31,715 ","8,384 ","28,242 ","11,857 ","$791,825 ","35,366 ",門票數
北門遊客中心, - ,"25,176 ","18,954 ","6,222 ", - ,"16,597 ",停車數概估(自105年9月起調整人次計算方式以停車數概估)
井仔腳瓦盤鹽田, - ,"20,172 ","12,098 ","8,074 ", - ,"15,722 ",停車數概估
尖山埤江南渡假村,"13,537 ","13,381 ","10,602 ","16,316 ","$520,900 ","24,762 ",門票數  
烏山頭水庫風景區,"17,734 ","3,458 ","12,508 ","8,684 ","$1,810,110 ","15,659 ",門票數
曾文水庫,"18,810 ",344 ,"12,423 ","6,731 ","$1,005,904 ","23,115 ",門票數
關子嶺溫泉區, - ,"80,926 ","33,275 ","47,651 ", - ,"75,946 ",自動車流監視
虎頭埤風景區,"10,307 ","15,801 ","9,887 ","16,221 ","$585,652 ","28,672 ",門票數
南元休閒農場,"2,930 ","1,639 ","2,997 ","1,572 ","$780,040 ","4,943 ",門票數
走馬瀨農場,"10,980 ","5,777 ","9,705 ","7,052 ","$1,317,580 ","12,609 ",門票數
烏樹林休閒園區, - ,"6,208 ","3,321 ","2,887 ", - ,"5,025 ",門票數
頑皮世界,"11,392 ",101 ,"8,594 ","2,899 ","$4,400,660 ","8,277 ",門票數
南鯤鯓代天府, - ,"890,100 ","534,060 ","356,040 ", - ,"888,000 ",廟方估計
麻豆代天府, - ,"300,554 ","180,332 ","120,222 ", - ,"316,372 ",廟方估計
馬沙溝濱海遊憩區,休館,休館,休館,休館,休館,休館,自105年11月1日起休園
國立臺灣歷史博物館,"10,755 ","25,376 ","21,181 ","14,950 ","$858,370 ","33,391 ",人工計數器
奇美博物館,"73,393 ","2,636 ","36,982 ","39,047 ","$7,226,090 ","64,812 ",人工計數器
延平郡王祠, - ,"5,124 ","2,511 ","2,613 ", - ,"12,394 ",人工計數器
赤崁樓,"24,632 ","13,303 ","19,115 ","18,820 ","$1,145,820 ","42,872 ",門票數
臺南孔子廟,休館,休館,休館,休館,休館,"14,157 ",人工計數器 (自108年2月15日起休館維修)
祀典武廟, - ,"26,555 ","13,381 ","13,174 ", - ,"30,010 ",人工計數器
五妃廟, - ,"5,805 ","2,929 ","2,876 ", - ,"5,479 ",人工計數器
大天后宮, - ,"30,348 ","15,292 ","15,056 ", - ,"34,298 ",人工計數器
安平小鎮,"57,977 ","24,470 ","46,173 ","36,274 ","$2,596,490 ","86,042 ",門票數
