觀光遊憩區別,遊客人次有門票_需購票,遊客人次無門票_免費,遊客人次假日,遊客人次非假日,門票收入_元 ,上年同月遊客人數,備註
臺灣鹽博物館,"3,416 ",140 ,"1,947 ","1,609 ","$312,040 ","5,066 ",門票數
七股鹽山,"29,809 ","5,244 ","17,265 ","17,788 ","$743,525 ","41,876 ",門票數
北門遊客中心, - ,"18,727 ","10,816 ","7,911 ", - ,"16,632 ",停車數概估(自105年9月起調整人次計算方式以停車數概估)
井仔腳瓦盤鹽田, - ,"20,215 ","10,627 ","9,588 ", - ,"12,386 ",停車數概估
尖山埤江南渡假村,"7,345 ","5,375 ","6,987 ","5,733 ","$232,417 ","15,120 ",門票數  
烏山頭水庫風景區,"15,273 ","1,193 ","13,055 ","3,411 ","$1,380,340 ","20,786 ",門票數
曾文水庫,"24,161 ",596 ,"3,519 ","21,238 ","$1,032,138 ","16,739 ",門票數
關子嶺溫泉區, - ,"73,758 ","25,605 ","48,153 ", - ,"65,566 ",自動車流監視
虎頭埤風景區,"4,623 ","12,190 ","7,845 ","8,968 ","$232,000 ","17,921 ",門票數
南元休閒農場,"1,988 ",834 ,"1,399 ","1,423 ","$526,140 ","5,807 ",門票數
走馬瀨農場,"3,913 ","5,775 ","3,271 ","6,417 ","$469,580 ","15,294 ",門票數
烏樹林休閒園區, - ,"3,391 ","1,478 ","1,913 ", - ,"4,293 ",門票數
頑皮世界,"8,024 ",118 ,"5,106 ","3,036 ","$3,043,250 ","7,787 ",門票數
南鯤鯓代天府, - ,"570,000 ","342,000 ","228,000 ", - ,"560,500 ",廟方估計
麻豆代天府, - ,"281,770 ","169,062 ","112,708 ", - ,"296,599 ",廟方估計
馬沙溝濱海遊憩區,休館,休館,休館,休館,休館,休館,自105年11月1日起休園
國立臺灣歷史博物館,"15,176 ","24,156 ","17,878 ","21,454 ","$1,024,190 ","38,238 ",人工計數器
奇美博物館,"82,183 ","1,166 ","37,959 ","45,390 ","$7,264,690 ","74,006 ",人工計數器
延平郡王祠, - ,"4,548 ","1,413 ","3,135 ", - ,"11,799 ",人工計數器
赤崁樓,"32,390 ","12,550 ","15,514 ","29,426 ","$1,500,580 ","53,245 ",門票數
臺南孔子廟,休館,休館,休館,休館,休館,"21,366 ",人工計數器 (自108年2月15日起休館維修)
祀典武廟, - ,"31,458 ","10,860 ","20,598 ", - ,"37,272 ",人工計數器
五妃廟, - ,"5,307 ","1,949 ","3,358 ", - ,"5,167 ",人工計數器
大天后宮, - ,"35,952 ","12,411 ","23,541 ", - ,"42,596 ",人工計數器
安平小鎮,"72,552 ","19,425 ","34,537 ","57,440 ","$2,977,235 ","99,835 ",門票數
