觀光遊憩區別,遊客人次有門票_需購票,遊客人次無門票_免費,遊客人次假日,遊客人次非假日,門票收入_元 ,上年同月遊客人數,備註
臺灣鹽博物館,"1,805",76,911,970,"$160,100 ","3,804 ",門票數
七股鹽山,"33,350","13,535","25,814","21,071","$830,600 ","65,218 ",門票數
北門遊客中心, - ,"31,975","16,791","15,184", - ,"46,088 ",停車數概估(自105年9月起調整人次計算方式以停車數概估)
井仔腳瓦盤鹽田, - ,"23,939","11,528","12,411", - ,"24,964 ",停車數概估
尖山埤江南渡假村,"17,836","8,271","10,301","15,806","$519,583 ","31,187 ",門票數  
烏山頭水庫風景區,"23,088","1,172","3,265","20,995","$1,131,295 ","25,395 ",門票數
曾文水庫,"37,577","4,988","13,541","29,024","$1,533,747 ","29,510 ",門票數
關子嶺溫泉區, - ,"143,896","34,392","109,504", - ,"159,604 ",自動車流監視
虎頭埤風景區,"10,294","14,128","10,811","13,611","$559,196 ","33,073 ",門票數
南元休閒農場,"5,149","2,724","3,778","4,095","$1,210,365 ","10,621 ",門票數
走馬瀨農場,"22,845","6,138","14,901","14,082","$2,741,360 ","35,765 ",門票數
烏樹林休閒園區, - ,"6,224","3,292","2,932", - ,"8,615 ",門票數
頑皮世界,"12,157",478,"8,276","4,359","$4,486,480 ","16,200 ",門票數
南鯤鯓代天府, - ,"825,000","495,000","330,000", - ,"810,500 ",廟方估計
麻豆代天府, - ,"217,298","130,379","86,919", - ,"240,773 ",廟方估計
馬沙溝濱海遊憩區,休館,休館,休館,休館,休館,休館,自105年11月1日起休園
國立臺灣歷史博物館,"3,664","29,500","18,671","14,493","$156,040 ","37,490 ",人工計數器
奇美博物館,"99,328","23,563","85,229","37,662","$6,784,760 ","127,227 ",人工計數器
延平郡王祠, - ,"9,229","3,272","5,957", - ,"13,750 ",人工計數器
赤崁樓,"38,924","12,844","21,365","30,403","$1,253,520 ","66,015 ",門票數
臺南孔子廟,休館,休館,休館,休館,休館,"29,498 ",人工計數器 (自108年2月15日起休館維修)
祀典武廟, - ,"36,238","14,956","21,282", - ,"46,211 ",人工計數器
五妃廟, - ,"5,546","2,403","3,143", - ,"6,404 ",人工計數器
大天后宮, - ,"41,414","17,092","24,322", - ,"52,812 ",人工計數器
安平小鎮,"99,945","32,675","55,967","76,653","$3,325,100 ","150,909 ",門票數
