觀光遊憩區別,遊客人次有門票_需購票,遊客人次無門票_免費,遊客人次假日,遊客人次非假日,門票收入_元 ,上年同月遊客人數,備註
臺灣鹽博物館,"2,513",92,"1,284","1,321","$210,930 ","2,520 ",門票數
七股鹽山,"34,227","15,379","28,954","20,652","$853,175 ","42,768 ",門票數
北門遊客中心, - ,"33,265","22,185","11,080", - ,"26,856 ",停車數概估(自105年9月起調整人次計算方式以停車數概估)
井仔腳瓦盤鹽田, - ,"24,973","5,888","19,085", - ,"22,410 ",停車數概估
尖山埤江南渡假村,"21,131","8,999","13,443","16,687","$789,742 ","27,984 ",門票數  
烏山頭水庫風景區,"21,213","12,712","16,004","17,921","$1,252,470 ","14,839 ",門票數
曾文水庫,"21,817",309,"11,339","10,787","$1,066,087 ","27,927 ",門票數
關子嶺溫泉區, - ,"125,489","38,279","87,210", - ,"132,586 ",自動車流監視
虎頭埤風景區,"12,399","17,084","15,853","13,630","$588,582 ","27,542 ",門票數
南元休閒農場,"9,249","2,260","5,754","5,755","$2,244,010 ","15,652 ",門票數
走馬瀨農場,"15,590","6,861","12,560","9,891","$1,870,800 ","21,179 ",門票數
烏樹林休閒園區, - ,"7,870","4,425","3,445", - ,"7,287 ",門票數
頑皮世界,"20,279",974,"13,168","8,085","$7,266,530 ","17,139 ",門票數
南鯤鯓代天府, - ,"830,000","498,000","332,000", - ,"830,750 ",廟方估計
麻豆代天府, - ,"228,100","136,860","91,240", - ,"253,445 ",廟方估計
馬沙溝濱海遊憩區,休館,休館,休館,休館,休館,休館,自105年11月1日起休園
國立臺灣歷史博物館,"2,422","26,231","16,657","11,996","$91,790 ","82,390 ",人工計數器
奇美博物館,"55,739","14,696","35,648","34,787","$7,123,880 ","62,003 ",人工計數器
延平郡王祠, - ,"7,736","3,234","4,502", - ,"12,388 ",人工計數器
赤崁樓,"36,843","16,974","23,559","30,258","$2,073,875 ","59,115 ",門票數
臺南孔子廟,休館,休館,休館,休館,休館,"23,823 ",人工計數器 (自108年2月15日起休館維修)
祀典武廟, - ,"37,672","16,491","21,181", - ,"41,380 ",人工計數器
五妃廟, - ,"6,099","2,911","3,188", - ,"5,429 ",人工計數器
大天后宮, - ,"43,053","18,847","24,206", - ,"47,292 ",人工計數器
安平小鎮,"86,222","33,037","56,295","62,964","$3,556,470 ","118,933 ",門票數
