觀光遊憩區別,遊客人次有門票_需購票,遊客人次無門票_免費,遊客人次假日,遊客人次非假日,門票收入_元 ,上年同月遊客人數,備註
臺灣鹽博物館,"2,902 ",121 ,"1,263 ","1,760 ","$235,010 ","2,630 ",門票數
七股鹽山,"44,898 ","12,251 ","39,898 ","17,251 ","$1,121,500 ","51,559 ",門票數
北門遊客中心, - ,"37,599 ","26,905 ","10,694 ", - ,"22,888 ",停車數概估(自105年9月起調整人次計算方式以停車數概估)
井仔腳瓦盤鹽田, - ,"20,757 ","11,784 ","8,973 ", - ,"21,104 ",停車數概估
尖山埤江南渡假村,"17,225 ","6,321 ","10,258 ","13,288 ","$635,672 ","23,732 ",門票數  
烏山頭水庫風景區,"19,137 ","1,826 ","16,925 ","4,038 ","$1,480,210 ","16,156 ",門票數
曾文水庫,"18,556 ",392 ,"11,856 ","7,092 ","$901,389 ","15,863 ",門票數
關子嶺溫泉區, - ,"107,315 ","38,300 ","69,015 ", - ,"84,400 ",自動車流監視
虎頭埤風景區,"10,688 ","15,103 ","16,765 ","9,026 ","$615,062 ","26,860 ",門票數
南元休閒農場,"8,669 ","2,140 ","6,642 ","4,167 ","$2,210,470 ","12,458 ",門票數
走馬瀨農場,"23,086 ","8,890 ","14,776 ","17,200 ","$2,770,340 ","20,975 ",門票數
烏樹林休閒園區, - ,"8,689 ","5,366 ","3,323 ", - ,"9,353 ",門票數
頑皮世界,"14,671 ","1,707 ","9,288 ","7,090 ","$5,387,010 ","19,003 ",門票數
南鯤鯓代天府, - ,"800,000 ","480,000 ","320,000 ", - ,"800,800 ",廟方估計
麻豆代天府, - ,"465,681 ","279,409 ","186,272 ", - ,"490,191 ",廟方估計
馬沙溝濱海遊憩區,休館,休館,休館,休館,休館,休館,自105年11月1日起休園
國立臺灣歷史博物館,"8,492 ","30,239 ","15,939 ","22,792 ","$541,620 ","33,426 ",人工計數器
奇美博物館,"61,707 ","2,230 ","30,468 ","33,469 ","$7,918,140 ","65,484 ",人工計數器
延平郡王祠, - ,"8,170 ","4,506 ","3,664 ", - ,"18,770 ",人工計數器
赤崁樓,"39,195 ","15,900 ","28,817 ","26,278 ","$1,454,450 ","63,138 ",門票數
臺南孔子廟,休館,休館,休館,休館,休館,"16,040 ",人工計數器 (自108年2月15日起休館維修)
祀典武廟, - ,"38,567 ","20,172 ","18,395 ", - ,"44,197 ",人工計數器
五妃廟, - ,"5,363 ","2,666 ","2,697 ", - ,"5,102 ",人工計數器
大天后宮, - ,"44,076 ","23,054 ","21,022 ", - ,"50,511 ",人工計數器
安平小鎮,"92,379 ","30,777 ","69,221 ","53,935 ","$3,344,525 ","124,287 ",門票數
