觀光遊憩區別,遊客人次有門票_需購票,遊客人次無門票_免費,遊客人次假日,遊客人次非假日,門票收入_元 ,上年同月遊客人數,備註
臺灣鹽博物館,"2,582 ",182 ,"1,218 ","1,546 ","$184,430 ","2,096 ",門票數
七股鹽山,"46,686 ","9,215 ","30,157 ","25,744 ","$1,164,300 ","52,438 ",門票數
北門遊客中心, - ,"21,672 ","10,294 ","11,378 ", - ,"24,005 ",停車數概估(自105年9月起調整人次計算方式以停車數概估)
井仔腳瓦盤鹽田, - ,"17,328 ","8,208 ","9,120 ", - ,"19,142 ",停車數概估
尖山埤江南渡假村,"11,973 ","6,988 ","5,572 ","13,389 ","$345,388 ","18,670 ",門票數  
烏山頭水庫風景區,"5,365 ","1,137 ","3,046 ","3,456 ","$514,190 ","6,773 ",門票數
曾文水庫,"11,436 ",507 ,"10,589 ","1,354 ","$630,243 ","15,113 ",門票數
關子嶺溫泉區, - ,"153,800 ","56,360 ","97,440 ", - ,"151,119 ",自動車流監視
虎頭埤風景區,"9,691 ","16,041 ","10,884 ","14,848 ","$780,748 ","26,786 ",門票數
南元休閒農場,"4,067 ","1,576 ","2,673 ","2,970 ","$1,080,710 ","6,296 ",門票數
走馬瀨農場,"12,228 ","4,674 ","8,800 ","8,102 ","$1,467,370 ","17,233 ",門票數
烏樹林休閒園區, - ,"5,302 ","2,885 ","2,417 ", - ,"4,120 ",門票數
頑皮世界,"8,748 ",201 ,"6,512 ","2,437 ","$3,357,230 ","9,122 ",門票數
南鯤鯓代天府, - ,"700,500 ","420,300 ","280,200 ", - ,"710,100 ",廟方估計
麻豆代天府, - ,"204,658 ","122,795 ","81,863 ", - ,"240,773 ",廟方估計
馬沙溝濱海遊憩區,休館,休館,休館,休館,休館,休館,自105年11月1日起休園
國立臺灣歷史博物館,"6,757 ","27,151 ","10,706 ","23,202 ","$421,160 ","28,156 ",人工計數器
奇美博物館,"54,381 ","3,090 ","37,584 ","19,887 ","$6,597,130 ","61,404 ",人工計數器
延平郡王祠, - ,"13,930 ","4,310 ","9,620 ", - ,"15,274 ",人工計數器
赤崁樓,"42,590 ","20,382 ","23,239 ","39,733 ","$2,059,065 ","60,618 ",門票數
臺南孔子廟,"16,464 ","6,585 ","19,923 ","3,126 ","$409,880 ","19,381 ",人工計數器
祀典武廟, - ,"44,080 ","16,267 ","27,813 ", - ,"42,433 ",人工計數器
五妃廟, - ,"5,747 ","2,267 ","3,480 ", - ,"5,666 ",人工計數器
大天后宮, - ,"50,377 ","18,591 ","31,786 ", - ,"48,494 ",人工計數器
安平小鎮,"94,952 ","37,079 ","51,167 ","80,864 ","$3,695,985 ","127,465 ",門票數
