觀光遊憩區別,遊客人次有門票_需購票,遊客人次無門票_免費,遊客人次假日,遊客人次非假日,門票收入_元 ,上年同月遊客人數,備註
臺灣鹽博物館,"2,874 ",193 ,"2,154 ",913 ,"$246,480 ","2,374 ",門票數
七股鹽山,"33,108 ","10,445 ","30,716 ","12,837 ","$826,400 ","30,855 ",門票數
北門遊客中心, - ,"28,191 ","20,473 ","7,718 ", - ,"18,786 ",停車數概估(自105年9月起調整人次計算方式以停車數概估)
井仔腳瓦盤鹽田, - ,"23,712 ","8,103 ","15,609 ", - ,"15,784 ",停車數概估
尖山埤江南渡假村,"11,714 ","7,045 ","11,334 ","7,425 ","$458,395 ","21,234 ",門票數  
烏山頭水庫風景區,"25,877 ","1,865 ","16,138 ","11,604 ","$2,541,310 ","23,122 ",門票數
曾文水庫,"17,721 ",323 ,"12,430 ","5,614 ","$894,019 ","18,098 ",門票數
關子嶺溫泉區, - ,"70,017 ","28,062 ","41,955 ", - ,"59,874 ",自動車流監視
虎頭埤風景區,"10,688 ","17,498 ","19,299 ","8,887 ","$564,386 ","25,892 ",門票數
南元休閒農場,"3,146 ","2,070 ","3,846 ","1,370 ","$828,110 ","7,248 ",門票數
走馬瀨農場,"11,810 ","4,903 ","12,567 ","4,146 ","$1,417,240 ","24,075 ",門票數
烏樹林休閒園區, - ,"5,261 ","3,799 ","1,462 ", - ,"6,119 ",門票數
頑皮世界,"8,511 ","2,849 ","9,212 ","2,148 ","$3,336,670 ","10,381 ",門票數
南鯤鯓代天府, - ,"790,000 ","474,000 ","316,000 ", - ,"793,000 ",廟方估計
麻豆代天府, - ,"395,466 ","237,280 ","158,186 ", - ,"439,407 ",廟方估計
馬沙溝濱海遊憩區,休館,休館,休館,休館,休館,休館,自105年11月1日起休園
國立臺灣歷史博物館,"13,394 ","27,593 ","26,464 ","14,523 ","$1,425,820 ","30,870 ",人工計數器
奇美博物館,"63,563 ","2,359 ","34,686 ","31,236 ","$7,550,360 ","63,094 ",人工計數器
延平郡王祠, - ,"4,157 ","2,345 ","1,812 ", - ,"10,878 ",人工計數器
赤崁樓,"15,313 ","53,869 ","24,165 ","45,017 ","$603,310 ","40,475 ",門票數
臺南孔子廟,休館,休館,休館,休館,休館,"9,266 ",人工計數器 (自108年2月15日起休館維修)
祀典武廟, - ,"48,427 ","16,915 ","31,512 ", - ,"28,333 ",人工計數器
五妃廟, - ,"5,483 ","3,204 ","2,279 ", - ,"4,579 ",人工計數器
大天后宮, - ,"55,346 ","19,332 ","36,014 ", - ,"32,380 ",人工計數器
安平小鎮,"36,754 ","83,752 ","50,642 ","69,864 ","$1,508,190 ","79,363 ",門票數
