觀光遊憩區別,遊客人次有門票_需購票,遊客人次無門票_免費,遊客人次假日,遊客人次非假日,門票收入_元 ,上年同月遊客人數,備註
臺灣鹽博物館,"1,631 ",67 ,896 ,802 ,"$141,620 ","2,289 ",門票數
七股鹽山,"24,273 ","9,924 ","20,139 ","14,058 ","$604,075 ","36,430 ",門票數
北門遊客中心, - ,"24,995 ","11,244 ","13,751 ", - ,"19,332 ",停車數概估(自105年9月起調整人次計算方式以停車數概估)
井仔腳瓦盤鹽田, - ,"16,551 ","7,578 ","8,973 ", - ,"17,215 ",停車數概估
尖山埤江南渡假村,"14,902 ","8,804 ","8,264 ","15,442 ","$540,664 ","30,547 ",門票數  
烏山頭水庫風景區,"16,901 ","3,077 ","7,098 ","12,880 ","$1,411,510 ","28,822 ",門票數
曾文水庫,"15,840 ",374 ,"7,070 ","9,144 ","$799,556 ","19,685 ",門票數
關子嶺溫泉區, - ,"80,702 ","26,571 ","54,131 ", - ,"58,534 ",自動車流監視
虎頭埤風景區,"11,346 ","16,420 ","7,066 ","20,700 ","$609,896 ","35,314 ",門票數
南元休閒農場,"4,753 ","1,564 ","3,719 ","2,598 ","$1,161,590 ","11,043 ",門票數
走馬瀨農場,"21,557 ","3,989 ","6,231 ","19,315 ","$2,586,840 ","16,858 ",門票數
烏樹林休閒園區, - ,"6,701 ","3,535 ","3,166 ", - ,"8,759 ",門票數
頑皮世界,"9,125 ",162 ,"5,642 ","3,645 ","$3,367,760 ","9,047 ",門票數
南鯤鯓代天府, - ,"910,000 ","546,000 ","364,000 ", - ,"900,800 ",廟方估計
麻豆代天府, - ,"449,996 ","269,998 ","179,998 ", - ,"529,407 ",廟方估計
馬沙溝濱海遊憩區,休館,休館,休館,休館,休館,休館,自105年11月1日起休園
國立臺灣歷史博物館,"5,854 ","35,159 ","21,541 ","19,472 ","$445,020 ","32,233 ",人工計數器
奇美博物館,"57,755 ","2,538 ","26,992 ","33,301 ","$6,608,260 ","66,495 ",人工計數器
延平郡王祠, - ,"5,043 ","1,738 ","3,305 ", - ,"12,322 ",人工計數器
赤崁樓,"10,277 ","52,954 ","17,331 ","45,900 ","$563,490 ","46,495 ",門票數
臺南孔子廟,休館,休館,休館,休館,休館,"8,927 ",人工計數器 (自108年2月15日起休館維修)
祀典武廟, - ,"44,262 ","12,132 ","32,130 ", - ,"32,547 ",人工計數器
五妃廟, - ,"4,840 ","2,226 ","2,614 ", - ,"4,568 ",人工計數器
大天后宮, - ,"50,585 ","13,865 ","36,720 ", - ,"37,196 ",人工計數器
安平小鎮,"25,979 ","91,433 ","36,811 ","80,601 ","$1,096,420 ","86,950 ",門票數
