觀光遊憩區別,遊客人次有門票_需購票,遊客人次無門票_免費,遊客人次假日,遊客人次非假日,門票收入_元 ,上年同月遊客人數,備註
臺灣鹽博物館,"3,489",9,"2,146","1,352","$326,810","2,604",門票數
七股鹽山,"43,149","16,210","38,625","20,734","$1,098,250","55,682",門票數
北門遊客中心, - ,"48,789","32,229","16,560", - ,"37,294",停車數概估(自105年9月起調整人次計算方式以停車數概估)
井仔腳瓦盤鹽田, - ,"21,827","15,592","6,235", - ,"25,324",停車數概估
尖山埤江南渡假村,"20,408","8,639","14,390","14,657","$793,222","29,865",門票數  
烏山頭水庫風景區,"22,441","8,439","18,726","12,154","$1,432,424","21,647",門票數
曾文水庫,"31,571","1,505","16,297","16,779","$1,459,381","29,431",門票數
關子嶺溫泉區, - ,"88,557","51,732","36,825", - ,"71,574",自動車流監視
虎頭埤風景區,"16,274","22,025","26,225","12,074","$970,426","35,328",門票數
南元休閒農場,"4,266","4,814","4,667","4,413","$1,143,840","5,975",門票數
走馬瀨農場,"18,537","7,623","15,196","10,964","$2,304,020","40,161",門票數
烏樹林休閒園區, - ,"5,818","3,353","2,465", - ,"7,099",門票數
頑皮世界,"41,881",154,"26,526","15,509","$15,033,900","19,689",門票數
南鯤鯓代天府, - ,"820,000","492,000","328,000", - ,"901,500",廟方估計
麻豆代天府, - ,"242,706","145,624","97,082", - ,"255,480",廟方估計
馬沙溝濱海遊憩區,"1,658",395,"1,239",814,"$235,826",休館,自109年6月25日起開放入園
國立臺灣歷史博物館, - ,"9,297","6,837","2,460", - ,"62,481",人工計數器 (109年6至12月整修期間不收門票)
奇美博物館,"60,486","20,518","35,307","45,697","$8,674,361","77,946",人工計數器
延平郡王祠, - , - , - , - , - ,"6,563",人工計數器 (因屬開放式景點故自109年5月起不統計)
赤崁樓,"25,569","15,570","26,651","14,488","$1,102,110","53,262",門票數
臺南孔子廟,休館,休館,休館,休館,休館,休館,人工計數器 (自108年2月15日起休館維修)
祀典武廟, - ,"28,797","18,656","10,141", - ,"37,284",人工計數器
五妃廟, - , - , - , - , - ,"6,013",人工計數器 (因屬開放式景點故自109年5月起不統計)
大天后宮, - ,"32,911","21,321","11,590", - ,"42,609",人工計數器
安平小鎮,"76,376","39,474","74,986","40,864","$3,103,200","111,833",門票數
