觀光遊憩區別,遊客人次有門票_需購票,遊客人次無門票_免費,遊客人次假日,遊客人次非假日,門票收入_元 ,上年同月遊客人數,備註
臺灣鹽博物館,"1,855",41,"1,241",655,"$172,770","2,058",門票數
七股鹽山,"24,430","8,684","18,628","14,486","$616,575","40,099",門票數
北門遊客中心, - ,"24,057","13,006","11,051", - ,"25,176",停車數概估(自105年9月起調整人次計算方式以停車數概估)
井仔腳瓦盤鹽田, - ,"16,282","6,000","10,282", - ,"20,172",停車數概估
尖山埤江南渡假村,"16,333","14,400","9,616","21,117","$573,535","26,918",門票數  
烏山頭水庫風景區,"18,403","5,963","11,184","13,182","$1,073,028","21,192",門票數
曾文水庫,"26,879","1,626","7,241","21,264","$1,180,627","19,154",門票數
關子嶺溫泉區, - ,"71,232","25,874","45,358", - ,"80,926",自動車流監視
虎頭埤風景區,"9,492","19,126","13,074","15,544","$544,230","26,108",門票數
南元休閒農場,"3,182","2,001","2,458","2,725","$819,200","4,569",門票數
走馬瀨農場,"4,346","5,068","5,386","4,028","$1,026,260","16,757",門票數
烏樹林休閒園區, - ,"4,061","2,530","1,531", - ,"6,208",門票數
頑皮世界,"21,124",70,"14,895","6,299","$7,999,610","11,493",門票數
南鯤鯓代天府, - ,"607,000","364,200","242,800", - ,"890,100",廟方估計
麻豆代天府, - ,"225,415","135,249","90,166", - ,"300,554",廟方估計
馬沙溝濱海遊憩區,"1,263",683,"1,596",350,"$180,461",休館,自109年6月25日起開放入園
國立臺灣歷史博物館, - ,"7,124","2,750","4,374", - ,"36,131",人工計數器 (109年6至12月整修期間不收門票)
奇美博物館,"40,698","15,232","22,705","33,225","$7,671,620","76,029",人工計數器
延平郡王祠, - , - , - , - , - ,"5,124",人工計數器 (因屬開放式景點故自109年5月起不統計)
赤崁樓,"16,612","8,597","11,671","13,538","$717,190","37,935",門票數
臺南孔子廟,休館,休館,休館,休館,休館,休館,人工計數器 (自108年2月15日起休館維修)
祀典武廟, - ,"17,647","8,170","9,477", - ,"26,555",人工計數器
五妃廟, - , - , - , - , - ,"5,805",人工計數器 (因屬開放式景點故自109年5月起不統計)
大天后宮, - ,"20,167","9,337","10,830", - ,"30,348",人工計數器
安平小鎮,"47,301","20,808","32,496","35,613","$1,965,430","82,447",門票數
