觀光遊憩區別,遊客人次有門票_需購票,遊客人次無門票_免費,遊客人次假日,遊客人次非假日,門票收入_元 ,上年同月遊客人數,備註
臺灣鹽博物館,"3,248",25,"1,925","1,348","$268,900","2,605",門票數
七股鹽山,"30,066","13,334","26,851","16,549","$769,325","49,606",門票數
北門遊客中心, - ,"32,772","19,390","13,382", - ,"33,265",停車數概估(自105年9月起調整人次計算方式以停車數概估)
井仔腳瓦盤鹽田, - ,"15,829","8,953","6,876", - ,"24,973",停車數概估
尖山埤江南渡假村,"20,971","7,581","11,212","17,340","$1,174,237","30,130",門票數  
烏山頭水庫風景區,"20,025","1,404","4,574","16,855","$872,846","33,925",門票數
曾文水庫,"24,436","1,212","13,608","12,040","$1,138,476","22,126",門票數
關子嶺溫泉區, - ,"82,102","42,920","39,182", - ,"125,489",自動車流監視
虎頭埤風景區,"13,689","19,068","18,386","14,371","$749,354","29,483",門票數
南元休閒農場,"6,704","2,697","5,091","4,310","$1,634,200","11,509",門票數
走馬瀨農場,"12,250","6,608","7,564","11,294","$2,017,370","22,451",門票數
烏樹林休閒園區, - ,"7,037","3,412","3,625", - ,"7,870",門票數
頑皮世界,"31,579",772,"18,176","14,175","$11,198,470","21,253",門票數
南鯤鯓代天府, - ,"810,000","486,000","324,000", - ,"830,000",廟方估計
麻豆代天府, - ,"145,984","87,590","58,394", - ,"228,100",廟方估計
馬沙溝濱海遊憩區, - ,440,282,158, - ,休館,自109年6月25日起開放入園
國立臺灣歷史博物館, - ,"7,565","2,693","4,872", - ,"28,653",人工計數器 (109年6至12月整修期間不收門票)
奇美博物館,"43,740","14,670","30,250","28,160","$6,023,241","70,435",人工計數器
延平郡王祠, - , - , - , - , - ,"7,736",人工計數器 (因屬開放式景點故自109年5月起不統計)
赤崁樓,"19,444","11,188","15,659","14,973","$862,085","53,817",門票數
臺南孔子廟,休館,休館,休館,休館,休館,休館,人工計數器 (自108年2月15日起休館維修)
祀典武廟, - ,"21,442","10,961","10,481", - ,"37,672",人工計數器
五妃廟, - , - , - , - , - ,"6,099",人工計數器 (因屬開放式景點故自109年5月起不統計)
大天后宮, - ,"24,506","12,528","11,978", - ,"43,053",人工計數器
安平小鎮,"64,073","32,077","45,866","50,284","$2,550,830","119,259",門票數
