觀光遊憩區別,遊客人次有門票_需購票,遊客人次無門票_免費,遊客人次假日,遊客人次非假日,門票收入_元 ,上年同月遊客人數,備註
臺灣鹽博物館,"1,780",177,"1,444",513,"$136,910","1,698",門票數
七股鹽山,"20,821","2,637","16,647","6,811","$533,525","34,197",門票數
北門遊客中心, - ,"16,675","9,777","6,898", - ,"24,995",停車數概估(自105年9月起調整人次計算方式以停車數概估)
井仔腳瓦盤鹽田, - ,"11,379","7,500","3,879", - ,"16,551",停車數概估
尖山埤江南渡假村,"3,751","2,860","4,760","1,851","$208,494","23,706",門票數  
烏山頭水庫風景區,"8,543","1,447","6,412","3,578","$475,372","19,978",門票數
曾文水庫,"15,883","1,235","9,272","7,846","$1,004,700","16,214",門票數
關子嶺溫泉區, - ,"64,957","38,455","26,502", - ,"80,702",自動車流監視
虎頭埤風景區,"12,645","18,569","18,207","13,007","$786,562","27,766",門票數
南元休閒農場,"1,244",283,"1,138",389,"$391,460","6,317",門票數
走馬瀨農場,"2,745","1,243","3,078",910,"$474,390","25,546",門票數
烏樹林休閒園區, - ,"1,383",952,431, - ,"6,701",門票數
頑皮世界,"14,265",22,"10,392","3,895","$5,533,970","9,287",門票數
南鯤鯓代天府, - ,"130,000","78,000","52,000", - ,"910,000",廟方估計
麻豆代天府, - ,"26,520","15,912","10,608", - ,"449,996",廟方估計
馬沙溝濱海遊憩區,休館,休館,休館,休館,休館,休館,自105年11月1日起休園
國立臺灣歷史博物館,"2,005","7,319","5,016","4,308","$38,130","41,013",人工計數器
奇美博物館,"18,827","6,630","19,209","6,248","$2,143,953","60,293",人工計數器
延平郡王祠, - , - , - , - , - ,"5,043",人工計數器 (因屬開放式景點故自109年5月起不統計)
赤崁樓,"7,076","5,576","8,348","4,304","$303,400","63,231",門票數
臺南孔子廟,休館,休館,休館,休館,休館,休館,人工計數器 (自108年2月15日起休館維修)
祀典武廟, - ,"8,856","5,844","3,012", - ,"44,262",人工計數器
五妃廟, - , - , - , - , - ,"4,840",人工計數器 (因屬開放式景點故自109年5月起不統計)
大天后宮, - ,"10,122","6,678","3,444", - ,"50,585",人工計數器
安平小鎮,"19,855","12,505","23,468","8,892","$859,400","117,412",門票數
