觀光遊憩區別,遊客人次有門票_需購票,遊客人次無門票_免費,遊客人次假日,遊客人次非假日,門票收入_元 ,上年同月遊客人數,備註
臺灣鹽博物館,"2,080",209,"1,302",987,"$216,050","3,434",門票數
七股鹽山,"26,124","10,306","19,920","16,510","$650,950","64,801",門票數
北門遊客中心, - ,"19,332","9,075","10,257", - ,"30,117",停車數概估(自105年9月起調整人次計算方式以停車數概估)
井仔腳瓦盤鹽田, - ,"17,215","8,366","8,849", - ,"14,952",停車數概估
尖山埤江南渡假村,"19,673","10,874","7,011","23,536","$845,431","22,196",門票數  
烏山頭水庫風景區,"25,503","3,319","10,025","18,797","$1,998,363","33,129",門票數
曾文水庫,"19,204",481,"4,726","14,959","$919,814","20,910",門票數
關子嶺溫泉區, - ,"58,534","32,180","26,354", - ,"68,054",自動車流監視
虎頭埤風景區,"18,950","16,364","22,296","13,018","$679,252","41,176",門票數
南元休閒農場,"9,313","1,730","5,694","5,349","$2,429,540","8,253",門票數
走馬瀨農場,"11,604","5,254","6,816","10,042","$2,180,680","26,603",門票數
烏樹林休閒園區, - ,"8,759","3,887","4,872", - ,"9,857",門票數
頑皮世界,"8,801",246,"6,031","3,016","$3,187,760","10,738",門票數  
南鯤鯓代天府, - ,"900,800","540,480","360,320", - ,"900,000",廟方估計 
麻豆代天府, - ,"529,407","317,644","211,763", - ,"421,456",廟方估計
馬沙溝濱海遊憩區, - , - , - , - , - , - , - 
國立臺灣歷史博物館, - , - , - , - , - , - , - 
奇美博物館, - , - , - , - , - , - , - 
延平郡王祠, - ,"12,322","3,733","8,589", - ,"10,739",人工計數器
赤崁樓,"29,658","16,837","20,597","25,898","$1,306,950","62,166",門票數  
臺南孔子廟,"6,377","2,550","3,714","5,213","$155,615","17,471",人工計數器 
祀典武廟, - ,"32,547","14,418","18,129", - ,"43,517",人工計數器
五妃廟, - ,"4,568","2,016","2,552", - ,"3,593",人工計數器
大天后宮, - ,"37,196","16,478","20,718", - ,"49,733",人工計數器
安平小鎮,"64,335","22,615","38,417","48,533","$2,596,020","125,593",門票數  
