觀光遊憩區別,遊客人次有門票_需購票,遊客人次無門票_免費,遊客人次假日,遊客人次非假日,門票收入_元 ,上年同月遊客人數,備註
臺灣鹽業博物館,"3,672 ",132 ,"2,557 ","1,247 ","$261,790 ","3,561 ",門票數
七股鹽山,"52,435 ","12,783 ","47,334 ","17,884 ","$1,316,400 ","67,679 ",門票數
北門遊客中心, - ,"46,088 ","33,717 ","12,371 ", - ,"29,949 ",停車數概估(自105年9月起調整人次計算方式以停車數概估)
井仔腳瓦盤鹽田, - ,"24,964 ","14,836 ","10,128 ", - ,"28,774 ",停車數概估
尖山埤江南渡假村,"23,027 ","8,160 ","13,744 ","17,443 ","$775,380 ","34,992 ",門票數  
烏山頭水庫風景區,"23,653 ","1,742 ","5,075 ","20,320 ","$1,321,445 ","37,517 ",門票數
曾文水庫,"25,636 ","3,874 ","27,413 ","2,097 ","$1,197,116 ","37,802 ",門票數
關仔嶺溫泉區, - ,"159,604 ","64,794 ","94,810 ", - ,"191,361 ",自動車流監視
虎頭埤風景區,"16,016 ","17,057 ","21,751 ","11,322 ","$871,854 ","30,753 ",門票數
南元休閒農場,"8,823 ","1,798 ","6,670 ","3,951 ","$2,224,960 ","10,310 ",門票數
走馬瀨農場,"24,620 ","11,145 ","19,059 ","16,706 ","$2,954,360 ","27,938 ",門票數
烏樹林休閒園區, - ,"8,615 ","5,561 ","3,054 ", - ,"7,763 ",門票數
頑皮世界,"15,381 ",819 ,"11,150 ","5,050 ","$5,640,260 ","10,778 ",門票數  
南鯤鯓代天府, - ,"810,500 ","486,300 ","324,200 ", - ,"807,000 ",廟方估計 
麻豆代天府, - ,"240,773 ","144,464 ","96,309 ", - ,"267,525 ",廟方估計
延平郡王祠, - ,"13,750 ","5,880 ","7,870 ", - ,"11,139 ",人工計數器
赤崁樓,"45,805 ","20,210 ","34,197 ","31,818 ","$2,290,495 ","69,130 ",門票數  
臺南孔子廟,"20,577 ","8,921 ","15,976 ","13,522 ","$502,680 ","21,721 ",人工計數器 
祀典武廟, - ,"46,211 ","23,938 ","22,273 ", - ,"48,392 ",人工計數器
五妃廟, - ,"6,404 ","3,372 ","3,032 ", - ,"5,749 ",人工計數器
大天后宮, - ,"52,812","27,358 ","25,454 ", - ,"55,304 ",人工計數器
安平小鎮,"111,217 ","39,692 ","86,985 ","63,924 ","$4,520,415 ","160,242 ",門票數  
