觀光遊憩區別,遊客人次有門票_需購票,遊客人次無門票_免費,遊客人次假日,遊客人次非假日,門票收入_元 ,上年同月遊客人數,備註
臺灣鹽業博物館,"2,186 ",188 ,"1,541 ",833 ,"$196,050 ","3,049 ",門票數
七股鹽山,"24,441 ","6,414 ","20,024 ","10,831 ","$610,125 ","35,978 ",門票數
北門遊客中心, - ,"18,786 ","11,636 ","7,150 ", - ,"14,654 ",停車數概估(自105年9月起調整人次計算方式以停車數概估)
井仔腳瓦盤鹽田, - ,"15,784 ","10,094 ","5,690 ", - ,"9,525 ",停車數概估
尖山埤江南渡假村,"12,265 ","8,969 ","5,414 ","15,820 ","$466,139 ","21,832 ",門票數  
烏山頭水庫風景區,"22,415 ",707 ,"8,507 ","14,615 ","$1,767,776 ","21,723 ",門票數
曾文水庫,"17,801 ",297 ,"4,181 ","13,917 ","$802,600 ","19,387 ",門票數
關仔嶺溫泉區, - ,"59,874 ","24,498 ","35,376 ", - ,"66,332 ",自動車流監視
虎頭埤風景區,"11,083 ","14,809 ","15,829 ","10,063 ","$545,370 ","21,469",門票數
南元休閒農場,"4,703 ","2,545 ","5,235 ","2,013 ","$1,143,310 ","6,907 ",門票數
走馬瀨農場,"12,160 ","11,915 ","17,887 ","6,188 ","$1,459,280 ","25,730 ",門票數
烏樹林休閒園區, - ,"6,119 ","3,241 ","2,878 ", - ,"6,203 ",門票數
頑皮世界,"7,851 ","2,530 ","8,275 ","2,106 ","$3,048,550 ","9,028 ",門票數  
南鯤鯓代天府, - ,"793,000 ","475,800 ","317,200 ", - ,"791,000 ",廟方估計 
麻豆代天府, - ,"439,407 ","263,644 ","175,763 ", - ,"400,383 ",廟方估計
延平郡王祠, - ,"10,878 ","4,100 ","6,778 ", - ,"9,963 ",人工計數器
赤崁樓,"27,836 ","12,639 ","19,723 ","20,752 ","$1,073,240 ","50,466 ",門票數  
臺南孔子廟,"6,619 ","2,647 ","4,576 ","4,690 ","$163,805 ","12,341 ",人工計數器 
祀典武廟, - ,"28,333 ","13,806 ","14,527 ", - ,"35,326 ",人工計數器
五妃廟, - ,"4,579 ","2,371 ","2,208 ", - ,"2,689 ",人工計數器
大天后宮, - ,"32,380","15,778 ","16,602 ", - ,"40,373 ",人工計數器
安平小鎮,"59,719 ","19,644 ","38,230 ","41,133 ","$2,435,950 ","88,009 ",門票數  
