觀光遊憩區別,遊客人次有門票_需購票,遊客人次無門票_免費,遊客人次假日,遊客人次非假日,門票收入_元 ,上年同月遊客人數,備註
臺灣鹽博物館,"2,370",260,932,"1,698","$238,590","3,953",門票數
七股鹽山,"40,056","11,503","29,595","21,964","$998,950","54,896",門票數
北門遊客中心, - ,"22,888","11,151","11,737", - ,"25,808",停車數概估(自105年9月起調整人次計算方式以停車數概估)
井仔腳瓦盤鹽田, - ,"21,104","9,300","11,804", - ,"10,840",停車數概估
尖山埤江南渡假村,"17,484","6,248","4,375","19,357","$656,204","29,376",門票數  
烏山頭水庫風景區,"14,465","1,691","7,175","8,981","$1,098,185","18,697",門票數
曾文水庫,"15,536",327,"7,464","8,399","$823,306","24,042",門票數
關子嶺溫泉區, - ,"84,400","47,553","36,847", - ,"97,072",自動車流監視
虎頭埤風景區,"11,918","14,942","15,589","11,271","$610,358","29,667",門票數
南元休閒農場,"10,626","1,832","6,155","6,303","$2,637,560","12,348",門票數
走馬瀨農場,"12,170","8,805","7,787","13,188","$1,301,060","28,104",門票數
烏樹林休閒園區, - ,"9,353","3,986","5,367", - ,"9,430",門票數
頑皮世界,"16,582","2,421","10,152","8,851","$6,052,650","17,631",門票數  
南鯤鯓代天府, - ,"800,800","480,480","320,320", - ,"800,600",廟方估計 
麻豆代天府, - ,"490,191","294,115","196,076", - ,"439,245",廟方估計
馬沙溝濱海遊憩區, - , - , - , - , - , - , - 
國立臺灣歷史博物館, - , - , - , - , - , - , - 
奇美博物館, - , - , - , - , - , - , - 
延平郡王祠, - ,"18,770","5,110","13,660", - ,"13,817",人工計數器
赤崁樓,"43,461","19,677","27,877","35,261","$1,829,985","62,476",門票數  
臺南孔子廟,"11,457","4,583","6,409","9,631","$275,290","22,622",人工計數器 
祀典武廟, - ,"44,197","19,514","24,683", - ,"43,734",人工計數器
五妃廟, - ,"5,102","2,163","2,939", - ,"4,081",人工計數器
大天后宮, - ,"50,511","22,302","28,209", - ,"49,981",人工計數器
安平小鎮,"87,984","36,303","58,135","66,152","$3,540,710","124,296",門票數  
