觀光遊憩區別,遊客人次有門票_需購票,遊客人次無門票_免費,遊客人次假日,遊客人次非假日,門票收入_元 ,上年同月遊客人數,備註
臺灣鹽業博物館,"2,987 ",182 ,"1,857 ","1,312 ","$212,150 ","5,697 ",門票數
七股鹽山,"34,122 ","11,793 ","25,511 ","20,404 ","$848,050 ","70,497 ",門票數
北門遊客中心, - ,"24,387 ","14,584 ","9,803 ", - ,"24,410 ",停車數概估(自105年9月起調整人次計算方式以停車數概估)
井仔腳瓦盤鹽田, - ,"21,540 ","11,369 ","10,171 ", - ,"13,812 ",停車數概估
尖山埤江南渡假村,"25,267 ","7,212 ","11,105 ","21,374 ","$919,063 ","38,496 ",門票數  
烏山頭水庫風景區,"14,077 ","6,629 ","10,856 ","9,850 ","$1,326,070 ","22,986 ",門票數
曾文水庫,"22,492 ",395 ,"12,933 ","9,954 ","$1,318,024 ","24,544 ",門票數
關仔嶺溫泉區, - ,"108,694 ","68,373 ","40,321 ", - ,"153,798 ",自動車流監視
虎頭埤風景區,"12,874 ","16,721 ","16,471 ","13,124 ","$712,722 ","35,904",門票數
南元休閒農場,"5,965 ","1,522 ","4,880 ","2,607 ","$1,547,730 ","13,504 ",門票數
走馬瀨農場,"14,820 ","6,970 ","10,863 ","10,927 ","$178,440 ","43,742 ",門票數
烏樹林休閒園區, - ,"7,331 ","4,459 ","2,872 ", - ,"8,608 ",門票數
頑皮世界,"13,000 ",511 ,"9,006 ","4,505 ","$4,806,190 ","16,386 ",門票數  
南鯤鯓代天府, - ,"900,800 ","540,480 ","360,320 ", - ,"900,000 ",廟方估計 
麻豆代天府, - ,"268,916 ","161,350 ","107,566 ", - ,"312,896 ",廟方估計
延平郡王祠, - ,"13,502 ","4,966 ","8,536 ", - ,"13,511 ",人工計數器
赤崁樓,"36,357 ","18,382 ","25,669 ","29,070 ","$1,838,725 ","71,727 ",門票數  
臺南孔子廟,"13,570 ","5,427 ","8,325 ","10,672 ","$331,300 ","17,511 ",人工計數器 
祀典武廟, - ,"38,317 ","17,968 ","20,349 ", - ,"50,209 ",人工計數器
五妃廟, - ,"5,517 ","2,772 ","2,745 ", - ,"5,304 ",人工計數器
大天后宮, - ,"43,791","20,535 ","23,256 ", - ,"57,382 ",人工計數器
安平小鎮,"81,371 ","32,459 ","55,647 ","58,183 ","$3,255,560 ","140,237 ",門票數  
