觀光遊憩區別,遊客人次有門票_需購票,遊客人次無門票_免費,遊客人次假日,遊客人次非假日,門票收入_元 ,上年同月遊客人數,備註
臺灣鹽業博物館,"6,541 ",239 ,"4,029 ","2,751 ","$507,610 ","5,745 ",門票數
七股鹽山,"44,182 ","9,399 ","31,891 ","21,690 ","$1,100,325 ","60,204 ",門票數
北門遊客中心, - ,"21,235 ","11,623 ","9,612 ", - ,"19,839 ",停車數概估(自105年9月起調整人次計算方式以停車數概估)
井仔腳瓦盤鹽田, - ,"17,077 ","8,732 ","8,345 ", - ,"9,661 ",停車數概估
尖山埤江南渡假村,"11,522 ","10,113 ","11,526 ","10,109 ","$363,752 ","22,260 ",門票數  
烏山頭水庫風景區,"28,023 ","1,809 ","15,620 ","14,212 ","$2,866,095 ","28,391 ",門票數
曾文水庫,"19,021 ",401 ,"13,154 ","6,268 ","$1,039,014 ","27,385 ",門票數
關仔嶺溫泉區, - ,"61,443 ","35,873 ","25,570 ", - ,"81,741 ",自動車流監視
虎頭埤風景區,"9,362 ","14,925 ","14,372 ","9,915 ","$511,686 ","26,602 ",門票數
南元休閒農場,"4,594 ","2,053 ","4,468 ","2,179 ","$1,282,650 ","7,721 ",門票數
走馬瀨農場,"9,747 ","7,019 ","9,503 ","7,263 ","$1,169,660 ","18,439 ",門票數
烏樹林休閒園區, - ,"5,513 ","3,345 ","2,168 ", - ,"5,735 ",門票數
頑皮世界,"10,273 ",115 ,"7,902 ","2,486 ","$3,865,290 ","8,670 ",門票數  
南鯤鯓代天府, - ,"911,700 ","547,020 ","364,680 ", - ,"910,200 ",廟方估計 
麻豆代天府, - ,"395,466 ","237,280 ","158,186 ", - ,"340,325 ",廟方估計
延平郡王祠, - ,"11,578 ","3,661 ","7,917 ", - ,"10,164 ",人工計數器
赤崁樓,"41,149 ","14,664 ","22,944 ","32,869 ","$2,081,995 ","62,695 ",門票數  
臺南孔子廟,"14,547 ","6,191 ","8,345 ","12,393 ","$358,090 ","19,119 ",人工計數器 
祀典武廟, - ,"39,069 ","16,061 ","23,008 ", - ,"43,887 ",人工計數器
五妃廟, - ,"5,486 ","2,384 ","3,102 ", - ,"4,067 ",人工計數器
大天后宮, - ,"44,650","18,355 ","26,295 ", - ,"50,156 ",人工計數器
安平小鎮,"86,265 ","25,918 ","49,865 ","62,318 ","$3,505,490 ","118,970 ",門票數  
