觀光遊憩區別,遊客人次有門票_需購票,遊客人次無門票_免費,遊客人次假日,遊客人次非假日,門票收入_元 ,上年同月遊客人數,備註
臺灣鹽博物館,"2,437",83,"1,382","1,138","$178,330","3,418",門票數
七股鹽山,"30,832","11,936","24,565","18,203","$766,950","55,672",門票數
北門遊客中心, - ,"26,856","13,952","12,904", - ,"16,310",停車數概估(自105年9月起調整人次計算方式以停車數概估)
井仔腳瓦盤鹽田, - ,"22,410","10,775","11,635", - ,"12,234",停車數概估
尖山埤江南渡假村,"20,890","7,094","11,454","16,530","$785,246","35,361",門票數  
烏山頭水庫風景區,"13,902",937,"4,044","10,795","$923,910","21,800",門票數
曾文水庫,"24,349","3,578","7,689","20,238","$1,083,247","23,659",門票數
關子嶺溫泉區, - ,"132,586","62,780","69,806", - ,"153,084",自動車流監視
虎頭埤風景區,"11,880","15,662","15,191","12,351","$624,240","31,860",門票數
南元休閒農場,"13,611","2,041","7,844","7,808","$3,279,670","13,701",門票數
走馬瀨農場,"14,250","6,929","11,005","10,174","$1,709,960","28,804",門票數
烏樹林休閒園區, - ,"7,287","4,063","3,224", - ,"7,871",門票數
頑皮世界,"16,401",738,"10,569","6,570","$5,913,610","12,157",門票數  
南鯤鯓代天府, - ,"830,750","498,450","332,300", - ,"800,000",廟方估計 
麻豆代天府, - ,"253,445","152,067","101,378", - ,"281,606",廟方估計
馬沙溝濱海遊憩區, - , - , - , - , - , - , - 
國立臺灣歷史博物館, - , - , - , - , - , - , - 
奇美博物館, - , - , - , - , - , - , - 
延平郡王祠, - ,"12,388","3,780","8,608", - ,"13,737",人工計數器
赤崁樓,"41,287","17,828","25,229","33,886","$2,257,855","63,539",門票數  
臺南孔子廟,"16,430","7,393","9,567","14,256","$400,360","19,702",人工計數器 
祀典武廟, - ,"41,380","17,660","23,720", - ,"44,477",人工計數器
五妃廟, - ,"5,429","2,417","3,012", - ,"4,778",人工計數器
大天后宮, - ,"47,292","20,183","27,109", - ,"50,831",人工計數器
安平小鎮,"85,865","33,068","54,078","64,855","$3,479,190","133,017",門票數  
