觀光遊憩區別,遊客人次有門票_需購票,遊客人次無門票_免費,遊客人次假日,遊客人次非假日,門票收入_元 ,上年同月遊客人數,備註
臺灣鹽業博物館,"4,448 ",389 ,"3,514 ","1,323 ","$469,270 ","6,038 ",門票數
七股鹽山,"86,074 ","8,928 ","73,242 ","21,760 ","$2,153,825 ","120,891 ",門票數
北門遊客中心, - ,"38,643 ","27,900 ","10,743 ", - ,"39,061 ",停車數概估(自105年9月起調整人次計算方式以停車數概估)
井仔腳瓦盤鹽田, - ,"25,099 ","17,633 ","7,466 ", - ,"12,620 ",停車數概估
尖山埤江南渡假村,"11,732 ","10,939 ","8,391 ","14,280 ","$640,104 ","28,849",門票數  
烏山頭水庫風景區,"18,146 ","1,189 ","11,955 ","7,380 ","$1,892,990 ","21,290 ",門票數
曾文水庫,"21,349 ",512 ,"15,421 ","6,440 ","$1,312,990 ","31,798",門票數
關仔嶺溫泉區, - ,"154,351 ","95,184 ","59,167 ", - ,"132,938 ",自動車流監視
虎頭埤風景區,"21,059 ","10,624 ","25,603 ","6,080 ","$1,301,716 ","34,418",門票數
南元休閒農場,"13,775 ","3,271 ","14,302 ","2,744 ","$4,326,240 ","12,935 ",門票數
走馬瀨農場,"35,494 ","9,398 ","33,791 ","11,101 ","$3,622,510 ","42,399",門票數
烏樹林休閒園區, - ,"6,958 ","6,124 ",834 , - ,"8,703 ",門票數
頑皮世界,"27,947 ",176 ,"24,271 ","3,852 ","$11,280,590 ","19,791 ",門票數  
南鯤鯓代天府, - ,"901,750 ","541,050 ","360,700 ", - ,"900,000 ",廟方估計 
麻豆代天府, - ,"544,657 ","326,794 ","217,863 ", - ,"488,050",廟方估計
延平郡王祠, - ,"17,207 ","9,472 ","7,735 ", - ,"14,893 ",人工計數器
赤崁樓,"60,129 ","23,462 ","49,945 ","33,646 ","$2,522,780 ","93,682 ",門票數  
臺南孔子廟,"20,481 ","8,192 ","16,678 ","11,995 ","$207,495 ","31,064 ",人工計數器 
祀典武廟, - ,"58,514 ","34,962 ","23,552 ", - ,"65,577 ",人工計數器
五妃廟, - ,"5,831 ","3,741 ","2,090 ", - ,"5,100 ",人工計數器
大天后宮, - ,"66,873","39,956 ","26,917 ", - ,"74,946",人工計數器
安平小鎮,"134,064 ","53,651 ","115,434 ","72,281 ","$5,727,810 ","201,446 ",門票數  
