觀光遊憩區別,遊客人次有門票_需購票,遊客人次無門票_免費,遊客人次假日,遊客人次非假日,門票收入_元 ,上年同月遊客人數,備註
臺灣鹽博物館,"4,887",179,"2,543","2,523","$341,660","5,993",門票數
七股鹽山,"34,998","6,878","23,229","18,647","$871,600","63,047",門票數
北門遊客中心, - ,"16,632","8,872","7,760", - ,"22,709",停車數概估(自105年9月起調整人次計算方式以停車數概估)
井仔腳瓦盤鹽田, - ,"12,386","5,719","6,667", - ,"11,323",停車數概估
尖山埤江南渡假村,"7,866","7,254","5,987","9,133","$239,094","22,104",門票數  
烏山頭水庫風景區,"19,561","1,225","16,513","4,273","$1,949,730","27,943",門票數
曾文水庫,"16,055",684,"3,826","12,913","$787,590","27,844",門票數
關子嶺溫泉區, - ,"65,566","38,560","27,006", - ,"86,292",自動車流監視
虎頭埤風景區,"6,039","11,882","10,117","7,804","$324,522","26,187",門票數
南元休閒農場,"3,979","1,828","3,029","2,778","$1,085,250","8,477",門票數
走馬瀨農場,"9,997","5,297","5,767","9,527","$1,169,660","19,072",門票數
烏樹林休閒園區, - ,"4,293","2,080","2,213", - ,"4,750",門票數
頑皮世界,"7,704",83,"5,190","2,597","$2,937,950","8,977",門票數  
南鯤鯓代天府, - ,"560,500","336,300","224,200", - ,"560,000",廟方估計 
麻豆代天府, - ,"296,599","177,959","118,640", - ,"289,276",廟方估計
馬沙溝濱海遊憩區, - , - , - , - , - , - , - 
國立臺灣歷史博物館, - , - , - , - , - , - , - 
奇美博物館, - , - , - , - , - , - , - 
延平郡王祠, - ,"11,799","3,922","7,877", - ,"11,486",人工計數器
赤崁樓,"40,079","13,166","20,595","32,650","$1,866,240","70,633",門票數  
臺南孔子廟,"14,735","6,631","8,395","12,971","$362,095","20,164",人工計數器 
祀典武廟, - ,"37,272","14,417","22,855", - ,"49,443",人工計數器
五妃廟, - ,"5,167","2,508","2,659", - ,"4,691",人工計數器
大天后宮, - ,"42,596","16,476","26,120", - ,"56,506",人工計數器
安平小鎮,"78,613","21,222","41,906","57,929","$3,068,795","133,246",門票數  
