觀光遊憩區別,遊客人次有門票_需購票,遊客人次無門票_免費,遊客人次假日,遊客人次非假日,門票收入_元 ,上年同月遊客人數,備註
臺灣鹽博物館,"2,781",162,"2,322",621,"$197,260","3,179",門票數
七股鹽山,"28,798","6,568","24,069","11,297","$717,250","42,496",門票數
北門遊客中心, - ,"16,597","11,490","5,107", - ,"12,226",停車數概估(自105年9月起調整人次計算方式以停車數概估)
井仔腳瓦盤鹽田, - ,"15,722","10,069","5,653", - ,"6,501",停車數概估
尖山埤江南渡假村,"11,137","13,625","9,843","14,919","$359,367","24,305",門票數  
烏山頭水庫風景區,"13,638","2,021","8,953","6,706","$1,406,640","20,812",門票數
曾文水庫,"22,597",518,"19,517","3,598","$1,293,781","21,467",門票數
關子嶺溫泉區, - ,"75,946","37,940","38,006", - ,"92,028",自動車流監視
虎頭埤風景區,"11,687","16,985","17,145","11,527","$644,770","32,302",門票數
南元休閒農場,"3,579","1,364","3,516","1,427","$981,940","5,476",門票數
走馬瀨農場,"7,780","4,829","7,123","5,486","$933,570","12,725",門票數
烏樹林休閒園區, - ,"5,025","3,745","1,280", - ,"5,162",門票數
頑皮世界,"8,169",108,"5,418","2,859","$3,180,990","10,172",門票數  
南鯤鯓代天府, - ,"888,000","532,800","355,200", - ,"888,000",廟方估計 
麻豆代天府, - ,"316,372","189,823","126,549", - ,"266,602",廟方估計
馬沙溝濱海遊憩區, - , - , - , - , - , - , - 
國立臺灣歷史博物館, - , - , - , - , - , - , - 
奇美博物館, - , - , - , - , - , - , - 
延平郡王祠, - ,"12,394","4,560","7,834", - ,"10,213",人工計數器
赤崁樓,"28,663","14,209","24,576","18,296","$1,261,430","56,335",門票數  
臺南孔子廟,"9,888","4,269","7,904","6,253","$240,815","10,922",人工計數器 
祀典武廟, - ,"30,010","17,203","12,807", - ,"39,435",人工計數器
五妃廟, - ,"5,479","3,117","2,362", - ,"4,407",人工計數器
大天后宮, - ,"34,298","19,661","14,637", - ,"45,068",人工計數器
安平小鎮,"60,888","25,154","49,362","36,680","$2,488,025","89,624",門票數  
