觀光遊憩區別,遊客人次有門票_需購票,遊客人次無門票_免費,遊客人次假日,遊客人次非假日,門票收入_元 ,上年同月遊客人數,備註
臺灣鹽博物館,"2,694",5,431,"2,268","$235,490 ",955,門票數
七股鹽山,"42,144","10,880","37,409","15,615","$1,072,925 ","30,796",門票數
北門遊客中心, - ,"31,413","20,243","11,170", - ,"17,187",停車數概估(自105年9月起調整人次計算方式以停車數概估)
井仔腳瓦盤鹽田, - ,"15,867","8,248","7,619", - ,"10,051",停車數概估
尖山埤江南渡假村,"14,847","6,759","9,641","11,965","$607,521 ","7,745",門票數  
烏山頭水庫風景區,"14,610",840,"5,107","10,343","$788,815 ","21,778",門票數
曾文水庫,"24,028","1,858","12,155","13,731","$1,372,494 ","18,609",門票數
關子嶺溫泉區, - ,"126,161","84,728","41,433", - ,"79,367",自動車流監視
虎頭埤風景區,"12,143","17,477","17,341","12,279","$682,602 ","29,758",門票數
南元休閒農場,"5,509","2,396","3,738","4,167","$1,348,375 ","2,105",門票數
走馬瀨農場,"8,319","6,912","7,386","7,845","$1,604,714 ","7,734",門票數
烏樹林休閒園區, - ,"6,477","4,040","2,437", - ,"1,061",門票數
頑皮世界,"29,300",269,"17,712","11,857","$11,404,918 ","15,839",門票數
南鯤鯓代天府, - ,"120,000","72,000","48,000", - ,"120,000",廟方估計
麻豆代天府, - ,"297,792","178,675","119,117", - ,"10,608",廟方估計
馬沙溝濱海遊憩區,休館,休館,休館,休館,休館,休館,自109年6月25日起開放入園(因天侯問題，4月休園)
國立臺灣歷史博物館,"14,664","23,549","24,969","13,244","$1,005,721 ","7,793",人工計數器 (109年6至12月整修期間不收門票)
奇美博物館,"44,746","15,413","26,008","34,151","$6,058,381 ","16,541",人工計數器
延平郡王祠, - , - , - , - , - ,"5,605",人工計數器 (因屬開放式景點故自109年5月起不統計)
赤崁樓,"21,066","10,462","18,461","13,067","$919,770 ","14,719",門票數
臺南孔子廟,"2,419",954,"1,539","1,834","$187,920 ",休館,人工計數器 
祀典武廟, - ,"22,070","12,923","9,147", - ,"10,303",人工計數器
五妃廟, - , - , - , - , - ,"3,860",人工計數器 (因屬開放式景點故自109年5月起不統計)
大天后宮, - ,"25,223","14,769","10,454", - ,"11,775",人工計數器
安平小鎮,"63,854","31,718","54,547","41,025","$2,575,590 ","37,969",門票數
