觀光遊憩區別,遊客人次有門票_需購票,遊客人次無門票_免費,遊客人次假日,遊客人次非假日,門票收入_元 ,上年同月遊客人數,備註
臺灣鹽博物館,"4,132",10,"3,258",884,"$369,330 ","1,796",門票數
七股鹽山,"81,973","7,585","68,997","20,561","$2,183,225 ","54,764",門票數
北門遊客中心, - ,"51,417","43,757","7,660", - ,"21,601",停車數概估(自105年9月起調整人次計算方式以停車數概估)
井仔腳瓦盤鹽田, - ,"20,146","13,484","6,662", - ,"22,649",停車數概估
尖山埤江南渡假村,"11,114","7,048","13,442","4,720","$694,616 ","9,593",門票數  
烏山頭水庫風景區,"15,006","16,570","22,238","9,338","$921,290 ","14,916",門票數
曾文水庫,"34,304","1,655","21,775","14,184","$1,971,252 ","29,584",門票數
關子嶺溫泉區, - ,"152,563","121,749","30,814", - ,"64,485",自動車流監視
虎頭埤風景區,"25,395","15,021","30,087","10,329","$1,592,330 ","31,341",門票數
南元休閒農場,"6,515","2,319","6,958","1,876","$2,080,915 ","3,678",門票數
走馬瀨農場,"14,588","4,341","13,974","4,955","$2,997,910 ","39,472",門票數
烏樹林休閒園區, - ,"7,582","6,334","1,248", - ,"2,872",門票數
頑皮世界,"46,172",464,"29,100","17,536","$20,981,382 ","12,522",門票數
南鯤鯓代天府, - ,"808,000","484,800","323,200", - ,"680,000",廟方估計
麻豆代天府, - ,"380,479","228,287","152,192", - ,"104,050",廟方估計
馬沙溝濱海遊憩區, - ,58,55,3, - ,休館,自109年6月25日起開放入園
國立臺灣歷史博物館,"16,735","21,780","25,473","13,042","$1,173,258 ","13,445",人工計數器 (109年6至12月整修期間不收門票)
奇美博物館,"56,177","19,255","49,968","25,464","$7,325,748 ","51,206",人工計數器
延平郡王祠, - , - , - , - , - ,"12,845",人工計數器 (因屬開放式景點故自109年5月起不統計)
赤崁樓,"39,224","18,189","34,878","22,535","$1,844,050 ","43,555",門票數
臺南孔子廟,休館,休館,休館,休館,休館,休館,人工計數器 (自108年2月15日起休館維修)
祀典武廟, - ,"40,189","24,415","15,774", - ,"30,489",人工計數器
五妃廟, - , - , - , - , - ,"6,191",人工計數器 (因屬開放式景點故自109年5月起不統計)
大天后宮, - ,"45,930","27,902","18,028", - ,"34,844",人工計數器
安平小鎮,"95,568","46,017","88,392","53,193","$4,142,080 ","94,254",門票數
