觀光遊憩區別,遊客人次有門票_需購票,遊客人次無門票_免費,遊客人次假日,遊客人次非假日,門票收入_元 ,上年同月遊客人數,備註
臺灣鹽博物館,"2,185",18,"1,608",595,"$187,350 ","3,552",門票數
七股鹽山,"51,419","8,090","40,564","18,945","$1,322,825 ","76,027",門票數
北門遊客中心, - ,"26,530","20,216","6,314", - ,"41,679",停車數概估(自105年9月起調整人次計算方式以停車數概估)
井仔腳瓦盤鹽田, - ,"12,894","5,980","6,914", - ,"23,424",停車數概估
尖山埤江南渡假村,"12,707","6,044","7,320","11,431","$470,753 ","27,331",門票數  
烏山頭水庫風景區,"7,137","1,091","6,105","2,123","$564,840 ","10,239",門票數
曾文水庫,"14,922","1,402","12,250","4,074","$924,904 ","8,940",門票數
關子嶺溫泉區, - ,"110,025","81,987","28,038", - ,"180,682",自動車流監視
虎頭埤風景區,"13,222","14,691","17,369","10,544","$899,940 ","31,398",門票數
南元休閒農場,"2,349","1,231","2,032","1,548","$651,100 ","7,915",門票數
走馬瀨農場,"7,934","4,097","6,115","5,916","$1,449,416 ","26,725",門票數
烏樹林休閒園區, - ,"4,831","3,104","1,727", - ,"5,909",門票數
頑皮世界,"29,523",183,"18,279","11,427","$10,990,680 ","15,645",門票數
南鯤鯓代天府, - ,"450,000","270,000","180,000", - ,"700,000",廟方估計
麻豆代天府, - ,"78,227","46,936","31,291", - ,"523,590",廟方估計
馬沙溝濱海遊憩區, - ,289,146,143, - ,休館,自109年6月25日起開放入園
國立臺灣歷史博物館,"14,995","19,868","18,758","16,105","$888,684 ","16,173",人工計數器 (109年6至12月整修期間不收門票)
奇美博物館,"40,944","13,827","25,660","29,111","$5,428,665 ","78,256",人工計數器
延平郡王祠, - , - , - , - , - ,"14,378",人工計數器 (因屬開放式景點故自109年5月起不統計)
赤崁樓,"25,839","13,557","20,028","19,368","$1,101,835 ","65,625",門票數
臺南孔子廟,休館,休館,休館,休館,休館,休館,人工計數器 (自108年2月15日起休館維修)
祀典武廟, - ,"27,577","14,020","13,557", - ,"45,938",人工計數器
五妃廟, - , - , - , - , - ,"6,801",人工計數器 (因屬開放式景點故自109年5月起不統計)
大天后宮, - ,"31,517","16,023","15,494", - ,"52,500",人工計數器
安平小鎮,"75,345","33,670","57,900","51,115","$2,938,985 ","151,244",門票數
