觀光遊憩區別,遊客人次有門票_需購票,遊客人次無門票_免費,遊客人次假日,遊客人次非假日,門票收入_元 ,上年同月遊客人數,備註
臺灣鹽博物館,"2,758",28,"2,042",744,"$209,360","3,067",門票數
七股鹽山,"31,657","5,383","26,722","10,318","$805,725","43,553",門票數
北門遊客中心, - ,"23,515","16,140","7,375", - ,"28,191",停車數概估(自105年9月起調整人次計算方式以停車數概估)
井仔腳瓦盤鹽田, - ,"17,184","12,371","4,813", - ,"23,712",停車數概估
尖山埤江南渡假村,"8,447","5,261","7,036","6,672","$326,900","18,759",門票數  
烏山頭水庫風景區,"10,873","1,096","4,860","7,109","$576,696","27,742",門票數
曾文水庫,"17,042","1,807","7,242","11,607","$1,008,396","18,044",門票數
關子嶺溫泉區, - ,"70,482","40,829","29,653", - ,"70,017",自動車流監視
虎頭埤風景區,"15,008","19,578","20,071","14,515","$1,022,586","28,186",門票數
南元休閒農場,"1,858",936,"1,797",997,"$552,245","5,216",門票數
走馬瀨農場,"8,530","13,692","17,897","4,325","$1,288,700","16,713",門票數
烏樹林休閒園區, - ,"3,744","2,045","1,699", - ,"5,261",門票數
頑皮世界,"30,871","2,724","21,196","12,399","$11,405,010","11,360",門票數
南鯤鯓代天府, - ,"530,000","318,000","212,000", - ,"790,000",廟方估計
麻豆代天府, - ,"39,780","23,868","15,912", - ,"395,466",廟方估計
馬沙溝濱海遊憩區,"5,020","1,221","6,183",58,"$593,670",休館,自109年6月25日起開放入園(統計數字：109/6/25~109/6/30)
國立臺灣歷史博物館, - ,"7,568","3,452","4,116", - ,"40,987",人工計數器 (6月整修期間不收門票)
奇美博物館,"53,462","14,565","41,316","26,711","$6,408,412","65,922",人工計數器
延平郡王祠, - , - , - , - , - ,"4,157",人工計數器 (因屬開放式景點故自109年5月起不統計)
赤崁樓,"15,120","7,120","14,765","7,475","$624,865","69,182",門票數
臺南孔子廟,休館,休館,休館,休館,休館,休館,人工計數器 (自108年2月15日起休館維修)
祀典武廟, - ,"15,569","10,336","5,233", - ,"48,427",人工計數器
五妃廟, - , - , - , - , - ,"5,483",人工計數器 (因屬開放式景點故自109年5月起不統計)
大天后宮, - ,"17,792","11,812","5,980", - ,"55,346",人工計數器
安平小鎮,"48,245","26,060","49,671","24,634","$1,948,165","120,506",門票數
