觀光遊憩區別,遊客人次有門票_需購票,遊客人次無門票_免費,遊客人次假日,遊客人次非假日,門票收入_元 ,上年同月遊客人數,備註
臺灣鹽博物館,"4,168",93,"2,257","2,004","$377,120","3,556",門票數
七股鹽山,"43,468","10,159","33,129","20,498","$1,100,550","35,053",門票數
北門遊客中心, - ,"23,958","15,457","8,501", - ,"18,727",停車數概估(自105年9月起調整人次計算方式以停車數概估)
井仔腳瓦盤鹽田, - ,"20,350","10,874","9,476", - ,"20,215",停車數概估
尖山埤江南渡假村,"13,302","9,119","10,541","11,880","$331,988","12,720",門票數  
烏山頭水庫風景區,"28,083","16,024","30,770","13,337","$1,989,348","16,466",門票數
曾文水庫,"31,066","1,603","24,359","8,310","$1,365,448","24,757",門票數
關子嶺溫泉區, - ,"69,435","33,447","35,988", - ,"73,758",自動車流監視
虎頭埤風景區,"7,804","17,202","14,813","10,193","$454,004","16,813",門票數
南元休閒農場,"5,138","2,322","4,147","3,313","$1,194,135","2,822",門票數
走馬瀨農場,"3,054","7,144","5,021","5,177","$1,020,620","9,688",門票數
烏樹林休閒園區, - ,"4,075","2,104","1,971", - ,"3,391",門票數
頑皮世界,"81,509",221,"51,966","29,764","$30,004,660","8,142",門票數
南鯤鯓代天府, - ,"570,000","342,000","228,000", - ,"570,000",廟方估計
麻豆代天府, - ,"140,885","84,531","56,354", - ,"281,770",廟方估計
馬沙溝濱海遊憩區,"3,560",982,"3,682",860,"$434,445",休館,自109年6月25日起開放入園
國立臺灣歷史博物館, - ,"4,516","1,868","2,648", - ,"39,332",人工計數器 (109年6至12月整修期間不收門票)
奇美博物館,"81,451","31,582","53,282","59,751","$9,518,225","83,349",人工計數器
延平郡王祠, - , - , - , - , - ,"4,548",人工計數器 (因屬開放式景點故自109年5月起不統計)
赤崁樓,"34,126","12,612","19,707","27,031","$1,300,980","44,940",門票數
臺南孔子廟,休館,休館,休館,休館,休館,休館,人工計數器 (自108年2月15日起休館維修)
祀典武廟, - ,"32,717","13,795","18,922", - ,"31,458",人工計數器
五妃廟, - , - , - , - , - ,"5,307",人工計數器 (因屬開放式景點故自109年5月起不統計)
大天后宮, - ,"37,390","15,765","21,625", - ,"35,952",人工計數器
安平小鎮,"79,152","23,044","49,553","52,643","$3,086,405","91,977",門票數
