觀光遊憩區別,遊客人次有門票_需購票,遊客人次無門票_免費,遊客人次假日,遊客人次非假日,門票收入_元 ,上年同月遊客人數,備註
臺灣鹽博物館,863,92,478,477,"$69,270","2,612",門票數
七股鹽山,"27,684","3,112","21,604","9,192","$695,750","53,383",門票數
北門遊客中心, - ,"17,187","12,411","4,776", - ,"36,513",停車數概估(自105年9月起調整人次計算方式以停車數概估)
井仔腳瓦盤鹽田, - ,"10,051","6,646","3,405", - ,"20,550",停車數概估
尖山埤江南渡假村,"6,243","1,502","6,358","1,387","$338,195","28,142",門票數  
烏山頭水庫風景區,"17,150","4,628","17,449","4,329","$996,625","19,226",門票數
曾文水庫,"17,354","1,255","10,376","8,233","$1,312,919","19,358",門票數
關子嶺溫泉區, - ,"79,367","42,145","37,222", - ,"57,423",自動車流監視
虎頭埤風景區,"11,659","18,099","17,987","11,771","$761,090","26,608",門票數
南元休閒農場,"1,817",288,"1,517",588,"$631,850","9,667",門票數
走馬瀨農場,"4,992","2,742","6,459","1,275","$910,130","31,614",門票數
烏樹林休閒園區, - ,"1,061",971,90, - ,"7,254",門票數
頑皮世界,"15,832",7,"10,691","5,148","$6,422,320","16,403",門票數
南鯤鯓代天府, - ,"120,000","72,000","48,000", - ,"762,500",廟方估計
麻豆代天府, - ,"10,608","6,365","4,243", - ,"397,055",廟方估計
馬沙溝濱海遊憩區,休館,休館,休館,休館,休館,休館,自105年11月1日起休園
國立臺灣歷史博物館,703,"7,090","3,592","4,201","$21,160","35,002",人工計數器
奇美博物館,"12,638","3,903","12,836","3,705","$1,363,040","73,543",人工計數器
延平郡王祠, - ,"5,605","3,062","2,543", - ,"7,463",人工計數器
赤崁樓,"7,953","6,766","9,473","5,246","$361,695","55,630",門票數
臺南孔子廟,休館,休館,休館,休館,休館,休館,人工計數器 (自108年2月15日起休館維修)
祀典武廟, - ,"10,303","6,631","3,672", - ,"38,941",人工計數器
五妃廟, - ,"3,860","2,249","1,611", - ,"4,930",人工計數器
大天后宮, - ,"11,775","7,578","4,197", - ,"44,504",人工計數器
安平小鎮,"22,322","15,647","28,557","9,412","$1,026,995","123,222",門票數
