觀光遊憩區別,遊客人次有門票_需購票,遊客人次無門票_免費,遊客人次假日,遊客人次非假日,門票收入_元 ,上年同月遊客人數,備註
臺灣鹽博物館,"1,792",9,"1,033",768,"$142,465 ","1,881",門票數
七股鹽山,"31,340","11,609","22,846","20,103","$805,225 ","46,885",門票數
北門遊客中心, - ,"27,490","18,313","9,177", - ,"31,975",停車數概估(自105年9月起調整人次計算方式以停車數概估)
井仔腳瓦盤鹽田, - ,"14,316","6,109","8,207", - ,"23,939",停車數概估
尖山埤江南渡假村,"21,270","7,071","9,312","19,029","$825,026 ","26,107",門票數  
烏山頭水庫風景區,"26,153","1,511","4,085","23,579","$1,019,874 ","24,260",門票數
曾文水庫,"33,898","5,674","10,723","28,849","$1,513,155 ","42,565",門票數
關子嶺溫泉區, - ,"76,617","35,539","41,078", - ,"143,896",自動車流監視
虎頭埤風景區,"13,827","17,668","15,780","15,715","$768,330 ","24,422",門票數
南元休閒農場,"4,811","1,848","3,542","3,117","$1,133,810 ","7,873",門票數
走馬瀨農場,"11,229","6,782","5,974","12,037","$1,970,330 ","28,983",門票數
烏樹林休閒園區, - ,"5,970","3,056","2,914", - ,"6,224",門票數
頑皮世界,"30,830",983,"21,860","9,953","$10,652,590 ","12,635",門票數
南鯤鯓代天府, - ,"750,000","450,000","300,000", - ,"825,000",廟方估計
麻豆代天府, - ,"130,379","78,227","52,152", - ,"217,298",廟方估計
馬沙溝濱海遊憩區,0,322,176,146, - ,休館,自109年6月25日起開放入園
國立臺灣歷史博物館, - ,"4,264","1,996","2,268", - ,"33,164",人工計數器 (109年6至12月整修期間不收門票)
奇美博物館,"75,607","27,890","74,461","29,036","$5,486,502 ","122,891",人工計數器
延平郡王祠, - , - , - , - , - ,"9,229",人工計數器 (因屬開放式景點故自109年5月起不統計)
赤崁樓,"20,285","11,232","16,095","15,422","$893,860 ","51,768",門票數
臺南孔子廟,休館,休館,休館,休館,休館,休館,人工計數器 (自108年2月15日起休館維修)
祀典武廟, - ,"22,062","11,267","10,795", - ,"36,238",人工計數器
五妃廟, - , - , - , - , - ,"5,546",人工計數器 (因屬開放式景點故自109年5月起不統計)
大天后宮, - ,"25,214","12,876","12,338", - ,"41,414",人工計數器
安平小鎮,"63,863","28,609","45,453","47,019","$2,514,075 ","132,620",門票數
