觀光遊憩區別,遊客人次有門票_需購票,遊客人次無門票_免費,遊客人次假日,遊客人次非假日,門票收入_元 ,上年同月遊客人數,備註
臺灣鹽博物館,"3,539",13,"2,296","1,256","$286,150 ","2,764 ",門票數
七股鹽山,"67,347","8,680","58,011","18,016","$1,694,075 ","55,901 ",門票數
北門遊客中心, - ,"41,679","36,244","5,435", - ,"21,672 ",停車數概估(自105年9月起調整人次計算方式以停車數概估)
井仔腳瓦盤鹽田, - ,"23,424","6,603","16,821", - ,"17,328 ",停車數概估
尖山埤江南渡假村,"15,201","12,130","15,025","12,306","$665,641 ","18,961 ",門票數  
烏山頭水庫風景區,"8,752","1,487","7,869","2,370","$1,131,590 ","6,502 ",門票數
曾文水庫,"8,642",298,"2,123","6,817","$480,896 ","11,943 ",門票數
關子嶺溫泉區, - ,"180,682","118,316","62,366", - ,"153,800 ",自動車流監視
虎頭埤風景區,"16,652","14,746","22,604","8,794","$1,169,442 ","25,732 ",門票數
南元休閒農場,"5,790","2,125","6,783","1,132","$1,818,630 ","5,643 ",門票數
走馬瀨農場,"20,649","6,076","19,918","6,807","$2,477,940 ","16,902 ",門票數
烏樹林休閒園區, - ,"5,909","5,255",654, - ,"5,302 ",門票數
頑皮世界,"15,491",154,"12,165","3,480","$6,130,920 ","8,949 ",門票數
南鯤鯓代天府, - ,"700,000","420,000","280,000", - ,"700,500 ",廟方估計
麻豆代天府, - ,"523,590","314,154","209,436", - ,"204,658 ",廟方估計
馬沙溝濱海遊憩區,休館,休館,休館,休館,休館,休館,自105年11月1日起休園
國立臺灣歷史博物館,"3,508","12,665","9,114","7,059","$111,080 ","33,908 ",人工計數器
奇美博物館,"62,366","15,890","53,871","24,385","$7,461,730 ","57,471 ",人工計數器
延平郡王祠, - ,"14,378","9,019","5,359", - ,"13,930 ",人工計數器
赤崁樓,"46,858","18,767","38,444","27,181","$2,142,800 ","62,972 ",門票數
臺南孔子廟,休館,休館,休館,休館,休館,"23,049 ",人工計數器 (自108年2月15日起休館維修)
祀典武廟, - ,"45,938","26,911","19,027", - ,"44,080 ",人工計數器
五妃廟, - ,"6,801","3,974","2,827", - ,"5,747 ",人工計數器
大天后宮, - ,"52,500","30,755","21,745", - ,"50,377 ",人工計數器
安平小鎮,"109,170","42,074","86,408","64,836","$4,515,850 ","132,031 ",門票數
